feature_extraction,channels,classifier,cross-validation,feature-selection,accuracy,f1_score,AUC
PSD - Alpha Features,All,Random Forest,StratifiedShuffleSplit,anova,0.3999999999999999,0.3061938061938062,0.445
PSD - Alpha Features,All,Random Forest,StratifiedShuffleSplit,mutual_info_classif,0.3333333333333333,0.2841358641358641,0.335
PSD - Alpha Features,All,Random Forest,StratifiedShuffleSplit,chi2,0.4222222222222222,0.3995670995670995,0.4199999999999999
PSD - Alpha Features,All,XGBoost,KFold,anova,0.5472222222222223,0.5207326007326007,0.5266666666666667
PSD - Alpha Features,All,XGBoost,KFold,mutual_info_classif,0.525,0.5158152958152957,0.5566666666666668
PSD - Alpha Features,All,XGBoost,KFold,chi2,0.5694444444444444,0.49996780996781,0.53
PSD - Alpha Features,All,XGBoost,StratifiedKFold,anova,0.6805555555555556,0.6736796536796537,0.68
PSD - Alpha Features,All,XGBoost,StratifiedKFold,mutual_info_classif,0.4972222222222222,0.4906637806637806,0.51
PSD - Alpha Features,All,XGBoost,StratifiedKFold,chi2,0.5,0.4977777777777777,0.505
PSD - Alpha Features,All,XGBoost,StratifiedShuffleSplit,anova,0.6444444444444444,0.6329437229437229,0.65
PSD - Alpha Features,All,XGBoost,StratifiedShuffleSplit,mutual_info_classif,0.3111111111111111,0.2863636363636363,0.31
PSD - Alpha Features,All,XGBoost,StratifiedShuffleSplit,chi2,0.4222222222222222,0.4172222222222221,0.425
PSD - Alpha Features,All,LigthGBM,KFold,anova,0.4111111111111111,0.2897435897435897,0.5
PSD - Alpha Features,All,LigthGBM,KFold,mutual_info_classif,0.4111111111111111,0.2897435897435897,0.5
PSD - Alpha Features,All,LigthGBM,KFold,chi2,0.4111111111111111,0.2897435897435897,0.5
PSD - Alpha Features,All,LigthGBM,StratifiedKFold,anova,0.4555555555555555,0.3128205128205127,0.5
PSD - Alpha Features,All,LigthGBM,StratifiedKFold,mutual_info_classif,0.4555555555555555,0.3128205128205127,0.5
PSD - Alpha Features,All,LigthGBM,StratifiedKFold,chi2,0.4555555555555555,0.3128205128205127,0.5
PSD - Alpha Features,All,LigthGBM,StratifiedShuffleSplit,anova,0.4444444444444445,0.3076923076923076,0.5
PSD - Alpha Features,All,LigthGBM,StratifiedShuffleSplit,mutual_info_classif,0.4444444444444445,0.3076923076923076,0.5
PSD - Alpha Features,All,LigthGBM,StratifiedShuffleSplit,chi2,0.4444444444444445,0.3076923076923076,0.5
PSD - Alpha Features,All,AdaBoost,KFold,anova,0.3666666666666666,0.2645687645687645,0.45
PSD - Alpha Features,All,AdaBoost,KFold,mutual_info_classif,0.4027777777777778,0.3767066267066267,0.3966666666666666
PSD - Alpha Features,All,AdaBoost,KFold,chi2,0.5277777777777778,0.5098701298701298,0.5349999999999999
PSD - Alpha Features,All,AdaBoost,StratifiedKFold,anova,0.5222222222222221,0.4411921411921412,0.53
PSD - Alpha Features,All,AdaBoost,StratifiedKFold,mutual_info_classif,0.5666666666666667,0.5293145743145744,0.5650000000000001
PSD - Alpha Features,All,AdaBoost,StratifiedKFold,chi2,0.4555555555555555,0.4452525252525253,0.465
PSD - Alpha Features,All,AdaBoost,StratifiedShuffleSplit,anova,0.4222222222222221,0.3393106893106893,0.465
PSD - Alpha Features,All,AdaBoost,StratifiedShuffleSplit,mutual_info_classif,0.4,0.3535442335442335,0.4049999999999999
PSD - Alpha Features,All,AdaBoost,StratifiedShuffleSplit,chi2,0.4888888888888889,0.4581168831168831,0.49
PSD - Alpha Features,Fp1,Support Vector,KFold,anova,0.4611111111111111,0.3697435897435898,0.55
PSD - Alpha Features,Fp1,Support Vector,KFold,mutual_info_classif,0.5027777777777778,0.4636796536796536,0.5700000000000001
PSD - Alpha Features,Fp1,Support Vector,KFold,chi2,0.4611111111111111,0.3697435897435898,0.55
PSD - Alpha Features,Fp1,Support Vector,StratifiedKFold,anova,0.4805555555555555,0.3588811188811188,0.525
PSD - Alpha Features,Fp1,Support Vector,StratifiedKFold,mutual_info_classif,0.5944444444444444,0.5563220113220113,0.6100000000000001
PSD - Alpha Features,Fp1,Support Vector,StratifiedKFold,chi2,0.4805555555555555,0.3588811188811188,0.525
PSD - Alpha Features,Fp1,Support Vector,StratifiedShuffleSplit,anova,0.4444444444444445,0.3076923076923076,0.5
PSD - Alpha Features,Fp1,Support Vector,StratifiedShuffleSplit,mutual_info_classif,0.4888888888888889,0.4327722277722278,0.5050000000000001
PSD - Alpha Features,Fp1,Support Vector,StratifiedShuffleSplit,chi2,0.4444444444444445,0.3076923076923076,0.5
PSD - Alpha Features,Fp1,Random Forest,KFold,anova,0.5472222222222223,0.5271428571428571,0.5866666666666667
PSD - Alpha Features,Fp1,Random Forest,KFold,mutual_info_classif,0.3611111111111111,0.342005772005772,0.3866666666666666
PSD - Alpha Features,Fp1,Random Forest,KFold,chi2,0.4583333333333333,0.4439321789321789,0.51
PSD - Alpha Features,Fp1,Random Forest,StratifiedKFold,anova,0.4583333333333333,0.4439321789321789,0.4699999999999999
PSD - Alpha Features,Fp1,Random Forest,StratifiedKFold,mutual_info_classif,0.4305555555555555,0.4142496392496392,0.4399999999999999
PSD - Alpha Features,Fp1,Random Forest,StratifiedKFold,chi2,0.4805555555555555,0.4735930735930737,0.49
PSD - Alpha Features,Fp1,Random Forest,StratifiedShuffleSplit,anova,0.5555555555555556,0.5522222222222222,0.5650000000000001
PSD - Alpha Features,Fp1,Random Forest,StratifiedShuffleSplit,mutual_info_classif,0.4222222222222221,0.3758891108891108,0.43
PSD - Alpha Features,Fp1,Random Forest,StratifiedShuffleSplit,chi2,0.5777777777777777,0.5369841269841269,0.57
PSD - Alpha Features,Fp1,XGBoost,KFold,anova,0.5666666666666667,0.5522222222222222,0.5800000000000001
PSD - Alpha Features,Fp1,XGBoost,KFold,mutual_info_classif,0.5166666666666666,0.4918759018759019,0.5183333333333334
PSD - Alpha Features,Fp1,XGBoost,KFold,chi2,0.4777777777777777,0.4738888888888889,0.5
PSD - Alpha Features,Fp1,XGBoost,StratifiedKFold,anova,0.475,0.4614718614718615,0.47
PSD - Alpha Features,Fp1,XGBoost,StratifiedKFold,mutual_info_classif,0.3833333333333333,0.3694444444444444,0.385
PSD - Alpha Features,Fp1,XGBoost,StratifiedKFold,chi2,0.4527777777777776,0.4433549783549783,0.4599999999999999
PSD - Alpha Features,Fp1,XGBoost,StratifiedShuffleSplit,anova,0.4888888888888889,0.4751226551226551,0.51
PSD - Alpha Features,Fp1,XGBoost,StratifiedShuffleSplit,mutual_info_classif,0.4444444444444445,0.4388888888888889,0.44
PSD - Alpha Features,Fp1,XGBoost,StratifiedShuffleSplit,chi2,0.5333333333333334,0.5031168831168831,0.5199999999999999
PSD - Alpha Features,Fp1,LigthGBM,KFold,anova,0.4111111111111111,0.2897435897435897,0.5
